Nama_Peserta,Essay_id,Answer,Score
1116,1,Alumni;  ; Kelebihan; Permisalan; Tutorial; Imajinasi; Argumen; Baju; Rangking; Kasat mata,3
1116,2,Menggunakan bahasa yang santun dan bahasa indonesia; mengurangi gerakan yang tidak penting; menggunakan jeda; tidak terbata-bata,2
1116,3,240/120 x 60 = 240 x 2 = 480/4 = 120,5
1116,4,Omset; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuwitansi,5
1116,5,pembukaan -> salam; isi -> tujuan; penutup-> salam penutup dan terimakasih,2
1605,1,Alumnus; agenda; laba; sampel; langkah-langkah; imajinasi; argumen; kostum; ranking; fiktif,5
1605,2,teknik membaca : menyampaikan laporan dengan mambaca dulu kemudian disampaikan; teknik menghafal : menyampaikan laporan dengan membaca dulu kemudian menghafal; teknik serta merta : menyampaikan laporan tanpa naskah dan tanpa mengafal; teknik outline : pembaca membawa catatan dan mengembangkan tulisan tersebut,5
1605,3,jumlah kata / waktu x 60 = 240/120 x 60 = 120 kpm,5
1605,4,omset; hektar; saksama; silakan; sirup; zaman; apotik; modern; himbau; kuitansi,4
1605,5,sutradara : mengatur jalannya pementasan ; alur : jalan cerita; panggung : tempat pementasan drama; amanat : pesan yang terkandung dalam drama,2
1503,1,alumni/ alumnus; agenda; laba; sampel; tutorial; imajinasi; argumen; kostum; ranking; fiksi,5
1503,2,"teknik membaca : dengan cara menulis laporan terlebih dahulu, lalu membacanya; teknik menghafal : dengan menulis laporan terlebih dahulu, lalu menghafalkan; teknik serta merta : dengan cara langsung, tanpa naskah dan tanpa menghafal; teknik outline : dengan cara pembicara membawa catatan, lalu mengembangkan tulisan tersebut",5
1503,3,jumlah kata yang dibaca / waktu baca x 60 = 240 /120 x 60 = 120 kpm,5
1503,4,omset; hektare; saksama; silakan; sirup; zaman; apotek; modern; himbau; kuitansi,5
1503,5,bersifat fakta; terdiri dari jawaban 5w+1h; benar-benar terjadi,2
1504,1,alumnus; jadwal; laba; sampel; langkah; imajinasi; argumen; kostum; ranking; fiktif,5
1504,2,"teknik membaca -> menyampaikan laporan dengan menulis, kemudian membaca; teknik menghafal -> menyampaikan laporan dengan menulis, kemudian menghafal; teknik serta serta -> menyampaikan laporan secara langsung, tanpa menulis dan tanpa menghafal; teknik outline -> menyampaikan laporan dengan diberi pembicara tulisan, kemudian mengembangkan tulisan tersebut",5
1504,3,jumlah kata yang dibaca/ waktu membaca (detik) x 60 = 240 / 120 x 60 = 120 kpm,5
1504,4,omset; hektar; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuwitansi,5
1504,5,"evalusai -> kritik dan saran, kritik : berkomentar tanpa membangun, saran : berkomentar dengan jalan keluar; pendapat -> hal yang diungkapkan menurut sudut pandang masing-masing; tafsiran -> menceritakan ulang secara garis besarnya saja",3
1505,1,alumnus; agenda; laba; sampel; ulasan; imajinasi; argumen; kostum; rangking; fiktif,5
1505,2,suara -> terdengar oleh audiens; gerak -> gerakan yang tidak perlu; bahasa komunikatif -> dengan bahasa sesuai dengan kaidah yang baik dan benar; ekpresi -> mimik wajah; penjedaan -> pemberhentian;,2
1505,3,240 / 120 x 60 = 480 kpm ,2
1505,4,omzet; hektar; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuwitansi,5
1505,5,ada penomorannya; secara urutan; gampang dipahami,2
1516,1,alumnus; agenda; laba; sampel; langkah-langkah; imajinasi; argumen; kostum; rangking; fiktif,5
1516,2,bahasa baku/ formal; factual (fakta -> benar-benar terjadi); memuat 5w+1h,2
1516,3,240/ 120 x 60 = 240 / 2 = 120 kpm,5
1516,4,omset; hektar; saksama; silakan; sirup; zaman; apotek; modern; himbau; kuwitansi,4
1516,5,naskah -> dialog; sutradara -> mengatur para pemain; aktor dan aktris -> tokoh drama; panggung -> tempat bermain drama,2
1517,1,alumnus; agenda; laba; sampel; teknik; imajinasi; argumen; kostum; ranking; fiktif,5
1517,2,vokal -> berkaitan dengan suara; penjedaan -> pemberian jeda pada akhir kalimat/ akhir kata; bahasa yang komunikatif -> bahasa yang mudah dipahami/ bahasa yang sopan dan santun; ekspresi -> mimik wajah; gerak-gerik -> gerakan saat menyampaikan laporan; suara/ pengucapan -> cara pengucapan pembicara saat menyampaikan laporan,2
1517,3,jumlah kata/ waktu membaca dalam detik x 60 -> 240/ 120 x 60 = 240 = 120 kpm,5
1517,4,omzet; hektare; saksama; silakan; sirop; zaman; apotek; modern; imbau; kuitansi,5
1517,5,"5w + 1h -> 5w  :  why, who, what, why, where + 1h = how; berupa fakta; judul",2
1518,1,alumnus; agenda; laba; pemisalan; tips; imajinasi; argumen; kostum; ranking; fitif,5
1518,2,"teknik membaca : menulis naskah, kemudian membacanya; teknik menghafal : menulis naskah, kemudian menghafalnya; teknik outline : membaca isi laporan tanpa naskah dan tanpa menghafal; teknik serta merta : menulis pokok naskah, kemudian mengembangkan tulisannya",5
1518,3,jmlh kata/ waktu x 60 = 240 / 120 x 60 = 120kpm,5
1518,4,omset; hektar; saksama; silakan; sirup; zaman; apotek; modern; imbau; kuitansi,5
1518,5,kritik : pendapat yang diberikan untuk menanggapi suatu hal; saran : pendapat yang diberikan untuk menanggapi suatu hal beserta solusi untuk membenarkannya,2
1519,1,alumnus; agenda; laba; sampel; metode; imajinasi; argumen; kostum; ranking; fiktif,5
1519,2,"teknik membaca : menyusun laporan terlebih dahulu, kemudian membacanya; teknik menghafal : membuat laporan terlebih dahulu, kemudian menghafal; teknik serta merta : menyampaikan laporan secara langsung tanpa naskah dan tanpa menghafal; teknik outline : menyiapkan catatan, kemudian mengembangkan tulisan tersebut",5
1519,3,rumus : jumlah kata / waktu baca x 60 = 240/ 120 x 60 = 120 kpm,5
1519,4,omset; hektar; saksama; silakan; sirup; zaman; apotek; modern; himbau; kuwitansi,3
1519,5,bahasa komunikatif : menggunakan bahasa indonesia yang baik dan benar; tanda baca : harus memperhatikan tanda baca; huruf kapital : harus memperhatikan penggunaan huruf besar,2
1520,1,alumnus; jadwal; laba; sampel; rumus; imajinasi; argumen; busana; ranking; fiktif,5
1520,2,volume suara -> harus terdengar oleh audiens; gerak-gerik -> harus tidak monoton; bahasa yang komunikatif -> penggunaan bahasa indonesia yang baik dan benar; volume dan gesture -> tidak monoton; mimik wajah -> berekspresi,2
1520,3,waktu per/detik : 120; kata : 240 ; jumlah kata/ waktu perdetik x 60; 240/ 120 x 60 = 240/ 2 = 120 kpm,5
1520,4,omzet; hektar; saksama; silakan; sirop; zaman; apotek; moderen; imbau; kuwitansi,5
1520,5,bersifat benar; bersifat aktual; berasal dari sumber yang terpercaya,2
